Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [5][200/299], lr: 0.00100	Time 0.312 (0.331)	Data 0.000 (0.013)	Loss 1.4092 (0.8335)	Acc@1 53.125 (76.182)	Acc@5 90.625 (94.900)
Epoch: [5][220/299], lr: 0.00100	Time 0.307 (0.329)	Data 0.000 (0.012)	Loss 0.9379 (0.8359)	Acc@1 78.125 (76.174)	Acc@5 96.875 (94.881)
Epoch: [5][240/299], lr: 0.00100	Time 0.307 (0.328)	Data 0.000 (0.011)	Loss 1.0795 (0.8352)	Acc@1 68.750 (76.024)	Acc@5 87.500 (94.956)
Epoch: [5][260/299], lr: 0.00100	Time 0.304 (0.326)	Data 0.000 (0.010)	Loss 0.5514 (0.8310)	Acc@1 90.625 (76.030)	Acc@5 93.750 (94.995)
Epoch: [5][280/299], lr: 0.00100	Time 0.306 (0.325)	Data 0.000 (0.010)	Loss 0.7501 (0.8282)	Acc@1 81.250 (76.246)	Acc@5 93.750 (94.984)
Epoch: [6][0/299], lr: 0.00100	Time 4.823 (4.823)	Data 4.415 (4.415)	Loss 0.9493 (0.9493)	Acc@1 68.750 (68.750)	Acc@5 96.875 (96.875)
Epoch: [6][20/299], lr: 0.00100	Time 0.312 (0.526)	Data 0.000 (0.211)	Loss 1.0384 (0.8156)	Acc@1 68.750 (77.381)	Acc@5 90.625 (95.238)
Epoch: [6][40/299], lr: 0.00100	Time 0.305 (0.474)	Data 0.000 (0.108)	Loss 0.5947 (0.7601)	Acc@1 87.500 (77.820)	Acc@5 96.875 (95.655)
Epoch: [6][60/299], lr: 0.00100	Time 0.307 (0.419)	Data 0.000 (0.073)	Loss 0.6140 (0.7693)	Acc@1 84.375 (77.561)	Acc@5 96.875 (95.338)
Epoch: [6][80/299], lr: 0.00100	Time 0.306 (0.392)	Data 0.000 (0.055)	Loss 0.4430 (0.7562)	Acc@1 84.375 (77.353)	Acc@5 100.000 (95.679)
