/var/spool/slurmd/job00154/slurm_script: /usr/share/lmod/lmod/libexec/lmod: No such file or directory
Start Training ...................................

          Initializing TSN with base model: BNInception.
          TSN Configurations:
              input_modality:     RGBDiff
              num_segments:       7
              new_length:         5
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=1024, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
Converting the ImageNet model to RGBDiff model
The modified 1st layer is Conv2d(15, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
Done. RGBDiff model is ready.
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 1 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 69 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 69 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [6][40/150], lr: 0.00100	Time 20.731 (7.686)	Data 16.978 (3.898)	Loss 0.4106 (0.5362)	Acc@1 85.938 (83.956)	Acc@5 95.312 (97.904)
Epoch: [6][60/150], lr: 0.00100	Time 4.400 (6.862)	Data 0.000 (3.095)	Loss 0.5283 (0.5327)	Acc@1 87.500 (83.888)	Acc@5 96.875 (97.976)
Epoch: [6][80/150], lr: 0.00100	Time 24.445 (6.680)	Data 21.299 (2.928)	Loss 0.6007 (0.5268)	Acc@1 81.250 (84.221)	Acc@5 95.312 (97.975)
Epoch: [6][100/150], lr: 0.00100	Time 3.787 (6.392)	Data 0.000 (2.623)	Loss 0.3452 (0.5116)	Acc@1 90.625 (84.777)	Acc@5 100.000 (97.958)
Epoch: [6][120/150], lr: 0.00100	Time 20.297 (6.287)	Data 15.576 (2.523)	Loss 0.5276 (0.5096)	Acc@1 89.062 (84.853)	Acc@5 98.438 (97.908)
Epoch: [6][140/150], lr: 0.00100	Time 2.979 (6.144)	Data 0.000 (2.396)	Loss 0.3015 (0.5088)	Acc@1 87.500 (84.962)	Acc@5 100.000 (97.861)
Epoch: [7][0/150], lr: 0.00100	Time 50.475 (50.475)	Data 46.830 (46.830)	Loss 0.4939 (0.4939)	Acc@1 85.938 (85.938)	Acc@5 98.438 (98.438)
Epoch: [7][20/150], lr: 0.00100	Time 3.645 (7.552)	Data 0.000 (3.729)	Loss 0.4619 (0.5150)	Acc@1 90.625 (83.631)	Acc@5 96.875 (98.065)
Epoch: [7][40/150], lr: 0.00100	Time 17.994 (6.682)	Data 13.030 (2.878)	Loss 0.2814 (0.4669)	Acc@1 87.500 (85.175)	Acc@5 100.000 (98.399)
Epoch: [7][60/150], lr: 0.00100	Time 3.070 (6.129)	Data 0.000 (2.348)	Loss 0.3668 (0.4676)	Acc@1 89.062 (85.195)	Acc@5 100.000 (98.438)
Epoch: [7][80/150], lr: 0.00100	Time 24.683 (6.352)	Data 20.928 (2.565)	Loss 0.3985 (0.4797)	Acc@1 87.500 (85.069)	Acc@5 98.438 (98.283)
Epoch: [7][100/150], lr: 0.00100	Time 4.375 (6.114)	Data 0.000 (2.348)	Loss 0.5039 (0.4887)	Acc@1 89.062 (85.025)	Acc@5 96.875 (98.159)
Epoch: [7][120/150], lr: 0.00100	Time 16.845 (6.097)	Data 13.751 (2.350)	Loss 0.4007 (0.4961)	Acc@1 87.500 (84.801)	Acc@5 96.875 (97.986)
Epoch: [7][140/150], lr: 0.00100	Time 3.361 (6.014)	Data 0.000 (2.271)	Loss 0.8035 (0.4909)	Acc@1 85.938 (84.929)	Acc@5 92.188 (98.005)
Epoch: [8][0/150], lr: 0.00100	Time 65.172 (65.172)	Data 59.571 (59.571)	Loss 0.6163 (0.6163)	Acc@1 78.125 (78.125)	Acc@5 96.875 (96.875)
Epoch: [8][20/150], lr: 0.00100	Time 4.348 (8.644)	Data 0.000 (4.800)	Loss 0.3200 (0.5647)	Acc@1 89.062 (83.631)	Acc@5 96.875 (97.173)
Epoch: [8][40/150], lr: 0.00100	Time 17.083 (7.232)	Data 13.160 (3.445)	Loss 0.5169 (0.5158)	Acc@1 87.500 (84.794)	Acc@5 98.438 (97.523)
Epoch: [8][60/150], lr: 0.00100	Time 3.575 (6.837)	Data 0.000 (3.033)	Loss 0.4721 (0.4714)	Acc@1 87.500 (85.861)	Acc@5 98.438 (97.823)
Epoch: [8][80/150], lr: 0.00100	Time 19.595 (6.654)	Data 13.716 (2.837)	Loss 0.4037 (0.4583)	Acc@1 87.500 (86.092)	Acc@5 98.438 (97.994)
Epoch: [8][100/150], lr: 0.00100	Time 2.952 (6.367)	Data 0.000 (2.563)	Loss 0.4467 (0.4648)	Acc@1 85.938 (86.092)	Acc@5 98.438 (97.958)
Epoch: [8][120/150], lr: 0.00100	Time 19.305 (6.374)	Data 15.307 (2.568)	Loss 0.2055 (0.4498)	Acc@1 93.750 (86.622)	Acc@5 100.000 (97.998)
Epoch: [8][140/150], lr: 0.00100	Time 4.418 (6.210)	Data 0.000 (2.409)	Loss 0.4703 (0.4529)	Acc@1 85.938 (86.414)	Acc@5 100.000 (98.005)
Epoch: [9][0/150], lr: 0.00100	Time 49.884 (49.884)	Data 44.379 (44.379)	Loss 0.3487 (0.3487)	Acc@1 87.500 (87.500)	Acc@5 98.438 (98.438)
Epoch: [9][20/150], lr: 0.00100	Time 2.934 (7.394)	Data 0.001 (3.631)	Loss 0.5424 (0.4385)	Acc@1 82.812 (86.905)	Acc@5 96.875 (98.363)
Epoch: [9][40/150], lr: 0.00100	Time 20.448 (6.756)	Data 16.283 (2.967)	Loss 0.2118 (0.4081)	Acc@1 92.188 (87.309)	Acc@5 100.000 (98.628)
Epoch: [9][60/150], lr: 0.00100	Time 4.368 (6.228)	Data 0.000 (2.465)	Loss 0.2962 (0.3969)	Acc@1 90.625 (87.474)	Acc@5 100.000 (98.745)
Epoch: [9][80/150], lr: 0.00100	Time 20.374 (6.220)	Data 17.019 (2.484)	Loss 0.1066 (0.3981)	Acc@1 98.438 (87.616)	Acc@5 100.000 (98.688)
Epoch: [9][100/150], lr: 0.00100	Time 3.265 (5.981)	Data 0.000 (2.255)	Loss 0.3553 (0.4022)	Acc@1 90.625 (87.546)	Acc@5 98.438 (98.608)
Epoch: [9][120/150], lr: 0.00100	Time 20.058 (6.011)	Data 15.386 (2.282)	Loss 0.4819 (0.4028)	Acc@1 87.500 (87.539)	Acc@5 96.875 (98.502)
Epoch: [9][140/150], lr: 0.00100	Time 3.057 (5.999)	Data 0.000 (2.283)	Loss 0.2184 (0.4006)	Acc@1 90.625 (87.644)	Acc@5 100.000 (98.537)
Test: [0/60]	Time 47.596 (47.596)	Loss 0.5885 (0.5885)	Acc@1 81.250 (81.250)	Acc@5 98.438 (98.438)
Test: [20/60]	Time 1.067 (7.095)	Loss 3.9411 (1.2010)	Acc@1 42.188 (71.726)	Acc@5 59.375 (89.881)
Test: [40/60]	Time 36.006 (6.683)	Loss 0.6982 (1.0878)	Acc@1 90.625 (74.314)	Acc@5 95.312 (91.273)
 * Acc@1 75.707 Acc@5 91.990 Loss 1.02866
Epoch: [10][0/150], lr: 0.00100	Time 58.066 (58.066)	Data 54.541 (54.541)	Loss 0.2876 (0.2876)	Acc@1 93.750 (93.750)	Acc@5 98.438 (98.438)
Epoch: [10][20/150], lr: 0.00100	Time 3.985 (8.341)	Data 0.000 (4.594)	Loss 0.1272 (0.2943)	Acc@1 98.438 (91.815)	Acc@5 98.438 (98.438)
Epoch: [10][40/150], lr: 0.00100	Time 23.989 (7.510)	Data 18.808 (3.780)	Loss 0.2531 (0.3032)	Acc@1 93.750 (91.197)	Acc@5 100.000 (98.819)
Epoch: [10][60/150], lr: 0.00100	Time 3.008 (6.770)	Data 0.000 (3.066)	Loss 0.2585 (0.3064)	Acc@1 93.750 (90.856)	Acc@5 98.438 (98.847)
Epoch: [10][80/150], lr: 0.00100	Time 20.964 (6.595)	Data 17.511 (2.880)	Loss 0.4812 (0.3274)	Acc@1 85.938 (90.297)	Acc@5 98.438 (98.746)
Epoch: [10][100/150], lr: 0.00100	Time 4.346 (6.336)	Data 0.000 (2.618)	Loss 0.3091 (0.3352)	Acc@1 89.062 (90.145)	Acc@5 98.438 (98.700)
Epoch: [10][120/150], lr: 0.00100	Time 19.743 (6.272)	Data 16.252 (2.540)	Loss 0.4758 (0.3290)	Acc@1 84.375 (90.225)	Acc@5 98.438 (98.799)
Epoch: [10][140/150], lr: 0.00100	Time 3.636 (6.162)	Data 0.000 (2.416)	Loss 0.3059 (0.3277)	Acc@1 92.188 (90.182)	Acc@5 100.000 (98.825)
Epoch: [11][0/150], lr: 0.00100	Time 48.475 (48.475)	Data 43.650 (43.650)	Loss 0.3530 (0.3530)	Acc@1 90.625 (90.625)	Acc@5 96.875 (96.875)
Epoch: [11][20/150], lr: 0.00100	Time 4.758 (7.740)	Data 0.000 (3.888)	Loss 0.2620 (0.3357)	Acc@1 95.312 (90.179)	Acc@5 98.438 (98.884)
Epoch: [11][40/150], lr: 0.00100	Time 17.144 (6.800)	Data 13.960 (3.030)	Loss 0.1970 (0.3103)	Acc@1 92.188 (90.663)	Acc@5 100.000 (99.009)
Epoch: [11][60/150], lr: 0.00100	Time 3.510 (6.363)	Data 0.000 (2.596)	Loss 0.4153 (0.3139)	Acc@1 89.062 (90.753)	Acc@5 98.438 (98.873)
Epoch: [11][80/150], lr: 0.00100	Time 20.712 (6.456)	Data 15.913 (2.687)	Loss 0.1864 (0.3077)	Acc@1 95.312 (90.972)	Acc@5 100.000 (98.881)
Epoch: [11][100/150], lr: 0.00100	Time 2.935 (6.200)	Data 0.000 (2.461)	Loss 0.4558 (0.3094)	Acc@1 87.500 (90.857)	Acc@5 95.312 (98.809)
Epoch: [11][120/150], lr: 0.00100	Time 20.268 (6.188)	Data 16.345 (2.450)	Loss 0.3340 (0.3121)	Acc@1 90.625 (90.922)	Acc@5 100.000 (98.825)
Epoch: [11][140/150], lr: 0.00100	Time 4.358 (6.080)	Data 0.000 (2.353)	Loss 0.2342 (0.3113)	Acc@1 93.750 (90.836)	Acc@5 100.000 (98.892)
Epoch: [12][0/150], lr: 0.00100	Time 74.678 (74.678)	Data 68.193 (68.193)	Loss 0.4885 (0.4885)	Acc@1 87.500 (87.500)	Acc@5 100.000 (100.000)
Epoch: [12][20/150], lr: 0.00100	Time 2.915 (8.643)	Data 0.000 (4.801)	Loss 0.3883 (0.3295)	Acc@1 84.375 (90.476)	Acc@5 100.000 (99.182)
Epoch: [12][40/150], lr: 0.00100	Time 23.186 (7.448)	Data 18.915 (3.588)	Loss 0.2583 (0.3191)	Acc@1 92.188 (90.511)	Acc@5 100.000 (99.085)
Epoch: [12][60/150], lr: 0.00100	Time 4.671 (6.715)	Data 0.010 (2.871)	Loss 0.3435 (0.3131)	Acc@1 90.625 (90.651)	Acc@5 96.875 (99.078)
Epoch: [12][80/150], lr: 0.00100	Time 16.963 (6.559)	Data 13.300 (2.736)	Loss 0.5076 (0.3083)	Acc@1 82.812 (90.683)	Acc@5 96.875 (99.035)
Epoch: [12][100/150], lr: 0.00100	Time 3.331 (6.324)	Data 0.000 (2.521)	Loss 0.2988 (0.3024)	Acc@1 89.062 (90.826)	Acc@5 100.000 (99.087)
Epoch: [12][120/150], lr: 0.00100	Time 21.622 (6.273)	Data 16.692 (2.477)	Loss 0.2121 (0.3068)	Acc@1 90.625 (90.780)	Acc@5 100.000 (99.083)
Epoch: [12][140/150], lr: 0.00100	Time 3.002 (6.080)	Data 0.000 (2.300)	Loss 0.1401 (0.3008)	Acc@1 95.312 (90.891)	Acc@5 100.000 (99.113)
Epoch: [13][0/150], lr: 0.00100	Time 46.844 (46.844)	Data 42.992 (42.992)	Loss 0.5015 (0.5015)	Acc@1 90.625 (90.625)	Acc@5 100.000 (100.000)
Epoch: [13][20/150], lr: 0.00100	Time 3.343 (7.256)	Data 0.001 (3.413)	Loss 0.2453 (0.2575)	Acc@1 92.188 (91.890)	Acc@5 100.000 (99.330)
Epoch: [13][40/150], lr: 0.00100	Time 22.020 (6.647)	Data 16.790 (2.786)	Loss 0.2573 (0.2477)	Acc@1 87.500 (92.149)	Acc@5 100.000 (99.619)
Epoch: [13][60/150], lr: 0.00100	Time 2.892 (6.159)	Data 0.004 (2.335)	Loss 0.3941 (0.2515)	Acc@1 90.625 (92.136)	Acc@5 98.438 (99.513)
Epoch: [13][80/150], lr: 0.00100	Time 18.058 (6.121)	Data 14.065 (2.284)	Loss 0.0851 (0.2558)	Acc@1 100.000 (92.226)	Acc@5 100.000 (99.441)
Epoch: [13][100/150], lr: 0.00100	Time 4.383 (6.052)	Data 0.001 (2.219)	Loss 0.2287 (0.2551)	Acc@1 93.750 (92.079)	Acc@5 98.438 (99.412)
Epoch: [13][120/150], lr: 0.00100	Time 25.152 (6.226)	Data 21.639 (2.393)	Loss 0.3491 (0.2581)	Acc@1 85.938 (91.968)	Acc@5 100.000 (99.380)
Epoch: [13][140/150], lr: 0.00100	Time 3.342 (6.107)	Data 0.000 (2.268)	Loss 0.1840 (0.2686)	Acc@1 96.875 (91.722)	Acc@5 100.000 (99.280)
Epoch: [14][0/150], lr: 0.00100	Time 56.062 (56.062)	Data 51.571 (51.571)	Loss 0.3719 (0.3719)	Acc@1 89.062 (89.062)	Acc@5 96.875 (96.875)
Epoch: [14][20/150], lr: 0.00100	Time 4.310 (7.597)	Data 0.000 (3.758)	Loss 0.2670 (0.2437)	Acc@1 90.625 (92.560)	Acc@5 98.438 (99.405)
Epoch: [14][40/150], lr: 0.00100	Time 19.772 (6.788)	Data 16.311 (2.986)	Loss 0.2879 (0.2458)	Acc@1 87.500 (92.111)	Acc@5 100.000 (99.543)
Epoch: [14][60/150], lr: 0.00100	Time 3.405 (6.281)	Data 0.000 (2.472)	Loss 0.2445 (0.2631)	Acc@1 90.625 (91.624)	Acc@5 98.438 (99.385)
Epoch: [14][80/150], lr: 0.00100	Time 27.731 (6.308)	Data 22.163 (2.490)	Loss 0.3381 (0.2658)	Acc@1 89.062 (91.493)	Acc@5 100.000 (99.344)
Epoch: [14][100/150], lr: 0.00100	Time 2.928 (6.184)	Data 0.000 (2.384)	Loss 0.2784 (0.2520)	Acc@1 93.750 (91.986)	Acc@5 100.000 (99.412)
Epoch: [14][120/150], lr: 0.00100	Time 12.141 (6.156)	Data 8.198 (2.336)	Loss 0.4067 (0.2639)	Acc@1 89.062 (91.684)	Acc@5 98.438 (99.367)
Epoch: [14][140/150], lr: 0.00100	Time 4.342 (6.043)	Data 0.000 (2.224)	Loss 0.3898 (0.2648)	Acc@1 87.500 (91.578)	Acc@5 98.438 (99.324)
Test: [0/60]	Time 49.871 (49.871)	Loss 0.2519 (0.2519)	Acc@1 90.625 (90.625)	Acc@5 100.000 (100.000)
Test: [20/60]	Time 1.061 (6.574)	Loss 2.0439 (0.9105)	Acc@1 56.250 (76.637)	Acc@5 78.125 (94.271)
