Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.0
               
Load and modify the standard model FC output layer
The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [5][260/299], lr: 0.00100	Time 0.300 (0.332)	Data 0.000 (0.010)	Loss 0.2646 (0.3431)	Acc@1 87.500 (89.607)	Acc@5 100.000 (98.875)
Epoch: [5][280/299], lr: 0.00100	Time 0.304 (0.330)	Data 0.000 (0.010)	Loss 0.3162 (0.3409)	Acc@1 87.500 (89.724)	Acc@5 100.000 (98.843)
Epoch: [6][0/299], lr: 0.00100	Time 5.674 (5.674)	Data 5.276 (5.276)	Loss 0.4981 (0.4981)	Acc@1 87.500 (87.500)	Acc@5 96.875 (96.875)
Epoch: [6][20/299], lr: 0.00100	Time 0.300 (0.561)	Data 0.000 (0.251)	Loss 0.2006 (0.2639)	Acc@1 93.750 (92.411)	Acc@5 100.000 (98.958)
Epoch: [6][40/299], lr: 0.00100	Time 0.300 (0.437)	Data 0.000 (0.129)	Loss 0.1540 (0.2742)	Acc@1 93.750 (91.692)	Acc@5 100.000 (99.314)
Epoch: [6][60/299], lr: 0.00100	Time 0.300 (0.394)	Data 0.000 (0.087)	Loss 0.2318 (0.2732)	Acc@1 90.625 (91.855)	Acc@5 100.000 (99.129)
Epoch: [6][80/299], lr: 0.00100	Time 0.302 (0.374)	Data 0.000 (0.065)	Loss 0.1517 (0.2804)	Acc@1 96.875 (91.512)	Acc@5 100.000 (99.151)
Epoch: [6][100/299], lr: 0.00100	Time 0.300 (0.361)	Data 0.000 (0.053)	Loss 0.2164 (0.2654)	Acc@1 90.625 (92.048)	Acc@5 100.000 (99.319)
Epoch: [6][120/299], lr: 0.00100	Time 0.300 (0.352)	Data 0.000 (0.044)	Loss 0.0606 (0.2545)	Acc@1 96.875 (92.381)	Acc@5 100.000 (99.406)
Epoch: [6][140/299], lr: 0.00100	Time 0.306 (0.352)	Data 0.000 (0.038)	Loss 0.1737 (0.2540)	Acc@1 93.750 (92.398)	Acc@5 100.000 (99.446)
Epoch: [6][160/299], lr: 0.00100	Time 0.304 (0.346)	Data 0.000 (0.034)	Loss 0.4870 (0.2585)	Acc@1 87.500 (92.255)	Acc@5 100.000 (99.379)
Epoch: [6][180/299], lr: 0.00100	Time 0.302 (0.341)	Data 0.000 (0.030)	Loss 0.8456 (0.2671)	Acc@1 78.125 (91.972)	Acc@5 96.875 (99.327)
Epoch: [6][200/299], lr: 0.00100	Time 0.299 (0.342)	Data 0.000 (0.027)	Loss 0.2292 (0.2676)	Acc@1 93.750 (91.884)	Acc@5 100.000 (99.331)
Epoch: [6][220/299], lr: 0.00100	Time 0.302 (0.339)	Data 0.000 (0.025)	Loss 0.5066 (0.2724)	Acc@1 84.375 (91.728)	Acc@5 96.875 (99.321)
Epoch: [6][240/299], lr: 0.00100	Time 0.301 (0.342)	Data 0.000 (0.023)	Loss 0.3332 (0.2742)	Acc@1 87.500 (91.753)	Acc@5 100.000 (99.287)
Epoch: [6][260/299], lr: 0.00100	Time 0.301 (0.339)	Data 0.000 (0.021)	Loss 0.3317 (0.2774)	Acc@1 93.750 (91.703)	Acc@5 100.000 (99.294)
Epoch: [6][280/299], lr: 0.00100	Time 0.307 (0.337)	Data 0.000 (0.019)	Loss 0.3536 (0.2771)	Acc@1 87.500 (91.715)	Acc@5 96.875 (99.266)
Epoch: [7][0/299], lr: 0.00100	Time 5.137 (5.137)	Data 4.757 (4.757)	Loss 0.2255 (0.2255)	Acc@1 93.750 (93.750)	Acc@5 100.000 (100.000)
Epoch: [7][20/299], lr: 0.00100	Time 0.315 (0.537)	Data 0.000 (0.227)	Loss 0.1505 (0.2709)	Acc@1 93.750 (92.113)	Acc@5 100.000 (98.810)
Epoch: [7][40/299], lr: 0.00100	Time 0.305 (0.423)	Data 0.000 (0.116)	Loss 0.1460 (0.2786)	Acc@1 96.875 (91.692)	Acc@5 100.000 (99.009)
Epoch: [7][60/299], lr: 0.00100	Time 0.303 (0.384)	Data 0.000 (0.078)	Loss 0.2746 (0.2634)	Acc@1 87.500 (92.059)	Acc@5 100.000 (98.975)
